character,provider,model_name,strategy,total_contradictions,num_turns,avg_contradiction_rate
grom_blacksmith,ollama,llama3.2:3b,none,12,15,0.8
grom_blacksmith,ollama,llama3.2:3b,periodic_reminder,0,15,0.0
grom_blacksmith,ollama,mistral:7b,none,27,15,1.8
grom_blacksmith,ollama,mistral:7b,periodic_reminder,11,15,0.733
grom_blacksmith,ollama,phi3:3.8b,none,9,15,0.6
grom_blacksmith,ollama,phi3:3.8b,periodic_reminder,3,15,0.2
lyra_healer,ollama,llama3.2:3b,none,0,15,0.0
lyra_healer,ollama,llama3.2:3b,periodic_reminder,0,15,0.0
lyra_healer,ollama,mistral:7b,none,0,15,0.0
lyra_healer,ollama,mistral:7b,periodic_reminder,0,15,0.0
lyra_healer,ollama,phi3:3.8b,none,9,15,0.6
lyra_healer,ollama,phi3:3.8b,periodic_reminder,15,15,1.0
vex_merchant,ollama,llama3.2:3b,none,5,15,0.333
vex_merchant,ollama,llama3.2:3b,periodic_reminder,7,15,0.467
vex_merchant,ollama,mistral:7b,none,3,15,0.2
vex_merchant,ollama,mistral:7b,periodic_reminder,2,15,0.133
vex_merchant,ollama,phi3:3.8b,none,0,15,0.0
vex_merchant,ollama,phi3:3.8b,periodic_reminder,4,15,0.267
